id,closeness_to_holiday,B,Month,product_page_duration,BounceRates,info_page_duration,total_duration,device,num_of_admin_pages,num_of_product_pages,C,ExitRates,num_of_info_pages,D,user_type,Region,admin_page_duration,PageValues,A,Weekend,internet_browser,purchase
0,0,84.9581536,Feb,0.0 minutes,0.2,0.0 minutes,,1,0,1,log8080,0.2,0,,Returning_Visitor,1,0,0,c_1,0,safari_13,0
1,0,102.1001621,Feb,64.0 minutes,0,0.0 minutes,,2,0,2,log202,0.1,0,,Returning_Visitor,1,0,0,c_2,0,chrome_89,0
2,0,100.9910642,Feb,0.0 minutes,0.2,0.0 minutes,,4,0,1,log200,0.2,0,,Returning_Visitor,9,0,0,c_3,0,safari_15,0
3,0,120.6055253,Feb,2.666666667 minutes,0.05,0.0 minutes,,3,0,2,log200,0.14,0,,Returning_Visitor,2,0,0,c_4,0,chrome_89,0
4,0,87.42370838,Feb,627.5 minutes,0.02,0.0 minutes,,3,,10,log404,0.05,0,,Returning_Visitor,1,0,0,c_4,1,browser_3_v9,0
5,0,96.97560889,Feb,154.2166667 minutes,0.015789474,0.0 minutes,,2,0,19,log202,0.024561404,0,,Returning_Visitor,1,0,0,c_3,0,chrome_90.1.7,0
6,0.4,107.9062357,Feb,0.0 minutes,0.2,0.0 minutes,,2,0,1,log200,0.2,0,,Returning_Visitor,3,0,0,c_3,0,edge_97.0.1072.76,0
7,0,89.35856957,Feb,0.0 minutes,0.2,0.0 minutes,,1,1,0,log202,0.2,0,,Returning_Visitor,1,0,0,c_5,1,chrome_90.1.7,0
8,0.8,91.53743262,Feb,37.0 minutes,0,0.0 minutes,37,2,0,2,log8080,0.1,0,,Returning_Visitor,2,0,0,c_3,0,chrome_99.1.3,0
10,0,100.3504572,Feb,395.0 minutes,0,0.0 minutes,395,1,0,3,log404,0.066666667,0,,Returning_Visitor,3,0,0,c_3,0,safari_13,0
12,0,113.4957819,Feb,280.5 minutes,0,0.0 minutes,280.5,1,0,7,log400,0.028571429,0,,Returning_Visitor,1,0,0,,0,safari_13,0
13,0,102.9713452,Feb,98.0 minutes,0,0.0 minutes,98,,0,6,log200,0.066666667,0,,Returning_Visitor,1,0,0,c_3,0,browser_5_v19,0
14,0,78.38320188,Feb,68.0 minutes,0,0.0 minutes,,3,0,2,log200,0.1,0,,Returning_Visitor,3,0,0,c_3,0,chrome_89,0
15,0,98.83563531,Feb,1668.285119 minutes,0.008333333,0.0 minutes,1721.285119,1,2,23,log8080,0.016312636,0,,Returning_Visitor,9,53,0,c_3,0,safari_15.2,0
16,0,113.8403234,Feb,0.0 minutes,0.2,0.0 minutes,0,1,0,1,log8080,0.2,0,,Returning_Visitor,4,0,0,c_3,0,safari_14,0
17,0,106.9729503,Feb,334.96666669999996 minutes,0,0.0 minutes,,1,0,13,log404,0.007692308,0,,Returning_Visitor,1,,0,c_4,1,safari_15.4,0
18,0,97.90588579,Feb,32.0 minutes,0,0.0 minutes,32,2,0,2,log202,0.1,0,,Returning_Visitor,1,0,0,c_3,0,chrome_99.1.3,0
19,0,94.00964579,Feb,2981.166667 minutes,0,0.0 minutes,2981.166667,2,0,20,log404,0.01,,,Returning_Visitor,4,0,0,,0,edge_97.0.1072.76,0
